package_name	version	family	file	line	matched_text	context
re2	1.26.1	NAN_COPYBUFFER	package/lib/split.cc	82	Nan::CopyBuffer(	"		return;
	}

	// form a result

	if (str.isBuffer)
	{
		for (size_t i = 0, n = std::min(pieces.size(), limit); i < n; ++i)
		{
			const auto &item = pieces[i];
			if (item.data())
			{
				Nan::Set(result, i, Nan::CopyBuffer(item.data(), item.size()).ToLocalChecked());
			}
			else
			{
				Nan::Set(result, i, Nan::Undefined());
			}
		}
	}
	else
	{
		for (size_t i = 0, n = std::min(pieces.size(), limit); i < n; ++i)
		{
			const auto &item = pieces[i];"
re2	1.26.1	NAN_COPYBUFFER	package/lib/exec.cc	58	Nan::CopyBuffer(	"
	auto result = Nan::New<v8::Array>(), indices = Nan::New<v8::Array>();
	int indexOffset = re2->global || re2->sticky ? re2->lastIndex : 0;

	if (str.isBuffer)
	{
		for (size_t i = 0, n = groups.size(); i < n; ++i)
		{
			const auto &item = groups[i];
			const auto data = item.data();
			if (data)
			{
				Nan::Set(result, i, Nan::CopyBuffer(data, item.size()).ToLocalChecked());
				if (re2->hasIndices)
				{
					auto pair = Nan::New<v8::Array>();
					auto offset = data - str.data - str.byteIndex;
					auto length = item.size();
					Nan::Set(pair, 0, Nan::New<v8::Integer>(indexOffset + static_cast<int>(offset)));
					Nan::Set(pair, 1, Nan::New<v8::Integer>(indexOffset + static_cast<int>(offset + length)));
					Nan::Set(indices, i, pair);
				}
			}
			else
			{"
re2	1.26.1	NAN_COPYBUFFER	package/lib/replace.cc	318	Nan::CopyBuffer(	"	std::vector<v8::Local<v8::Value>> argv;

	auto context = Nan::GetCurrentContext();

	if (useBuffers)
	{
		for (size_t i = 0, n = groups.size(); i < n; ++i)
		{
			const auto &item = groups[i];
			const auto data = item.data();
			if (data)
			{
				auto buffer = Nan::CopyBuffer(data, item.size());
				if (buffer.IsEmpty())
				{
					Nan::ThrowRangeError(""Invalid string length"");
					return Nan::Nothing<std::string>();
				}
				argv.push_back(buffer.ToLocalChecked());
			}
			else
			{
				argv.push_back(Nan::Undefined());
			}
		}"
re2	1.26.1	NAN_COPYBUFFER	package/lib/replace.cc	566	Nan::CopyBuffer(	"
		const auto replaced = replace(re2, replacee, data, size);
		if (replaced.IsNothing())
		{
			info.GetReturnValue().Set(info[0]);
			return;
		}
		result = replaced.FromJust();
	}

	if (replacee.isBuffer)
	{
		auto buffer = Nan::CopyBuffer(result.data(), result.size());
		if (buffer.IsEmpty())
		{
			Nan::ThrowRangeError(""Invalid string length"");
			return;
		}
		info.GetReturnValue().Set(buffer.ToLocalChecked());
		return;
	}
	// over-max-length result -> empty MaybeLocal; ToLocalChecked() would abort()
	auto text = Nan::New(result);
	if (text.IsEmpty())
	{"
re2	1.26.1	V8_NODE_BUFFER	package/lib/replace.cc	549	node::Buffer::New(	"	else
	{
		v8::Local<v8::Object> replacer;
		if (node::Buffer::HasInstance(info[1]))
		{
			replacer = info[1].As<v8::Object>();
		}
		else
		{
			auto t = info[1]->ToString(Nan::GetCurrentContext());
			if (t.IsEmpty())
				return; // throws an exception
			replacer = node::Buffer::New(v8::Isolate::GetCurrent(), t.ToLocalChecked()).ToLocalChecked();
		}

		auto data = node::Buffer::Data(replacer);
		auto size = node::Buffer::Length(replacer);

		const auto replaced = replace(re2, replacee, data, size);
		if (replaced.IsNothing())
		{
			info.GetReturnValue().Set(info[0]);
			return;
		}
		result = replaced.FromJust();"
re2	1.26.1	NAN_COPYBUFFER	package/lib/match.cc	98	Nan::CopyBuffer(	"	// form a result

	auto result = Nan::New<v8::Array>(), indices = Nan::New<v8::Array>();

	if (str.isBuffer)
	{
		for (size_t i = 0, n = groups.size(); i < n; ++i)
		{
			const auto &item = groups[i];
			const auto data = item.data();
			if (data)
			{
				Nan::Set(result, i, Nan::CopyBuffer(data, item.size()).ToLocalChecked());
				if (!re2->global && re2->hasIndices)
				{
					auto pair = Nan::New<v8::Array>();
					auto offset = data - str.data - byteIndex;
					auto length = item.size();
					Nan::Set(pair, 0, Nan::New<v8::Integer>(static_cast<int>(offset)));
					Nan::Set(pair, 1, Nan::New<v8::Integer>(static_cast<int>(offset + length)));
					Nan::Set(indices, i, pair);
				}
			}
			else
			{"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/generated/weak_node_api.cpp	1351	napi_create_buffer(	"                                          napi_async_context arg1,
                                          napi_value arg2, napi_value arg3,
                                          size_t arg4, const napi_value *arg5,
                                          napi_value *arg6) {
  if (g_host.napi_make_callback == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_make_callback' called before it ""
                    ""was injected!\n"");
    abort();
  }
  return g_host.napi_make_callback(arg0, arg1, arg2, arg3, arg4, arg5, arg6);
};

extern ""C"" napi_status napi_create_buffer(napi_env arg0, size_t arg1,
                                          void **arg2, napi_value *arg3) {
  if (g_host.napi_create_buffer == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_buffer' called before it ""
                    ""was injected!\n"");
    abort();
  }
  return g_host.napi_create_buffer(arg0, arg1, arg2, arg3);
};

extern ""C"" napi_status napi_create_external_buffer(napi_env arg0, size_t arg1,
                                                   void *arg2,
                                                   node_api_basic_finalize arg3,"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/generated/weak_node_api.cpp	1358	napi_create_buffer(	"    abort();
  }
  return g_host.napi_make_callback(arg0, arg1, arg2, arg3, arg4, arg5, arg6);
};

extern ""C"" napi_status napi_create_buffer(napi_env arg0, size_t arg1,
                                          void **arg2, napi_value *arg3) {
  if (g_host.napi_create_buffer == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_buffer' called before it ""
                    ""was injected!\n"");
    abort();
  }
  return g_host.napi_create_buffer(arg0, arg1, arg2, arg3);
};

extern ""C"" napi_status napi_create_external_buffer(napi_env arg0, size_t arg1,
                                                   void *arg2,
                                                   node_api_basic_finalize arg3,
                                                   void *arg4,
                                                   napi_value *arg5) {
  if (g_host.napi_create_external_buffer == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_external_buffer' called ""
                    ""before it was injected!\n"");
    abort();
  }"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/generated/weak_node_api.cpp	1361	napi_create_external_buffer(	"};

extern ""C"" napi_status napi_create_buffer(napi_env arg0, size_t arg1,
                                          void **arg2, napi_value *arg3) {
  if (g_host.napi_create_buffer == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_buffer' called before it ""
                    ""was injected!\n"");
    abort();
  }
  return g_host.napi_create_buffer(arg0, arg1, arg2, arg3);
};

extern ""C"" napi_status napi_create_external_buffer(napi_env arg0, size_t arg1,
                                                   void *arg2,
                                                   node_api_basic_finalize arg3,
                                                   void *arg4,
                                                   napi_value *arg5) {
  if (g_host.napi_create_external_buffer == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_external_buffer' called ""
                    ""before it was injected!\n"");
    abort();
  }
  return g_host.napi_create_external_buffer(arg0, arg1, arg2, arg3, arg4, arg5);
};
"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/generated/weak_node_api.cpp	1371	napi_create_external_buffer(	"};

extern ""C"" napi_status napi_create_external_buffer(napi_env arg0, size_t arg1,
                                                   void *arg2,
                                                   node_api_basic_finalize arg3,
                                                   void *arg4,
                                                   napi_value *arg5) {
  if (g_host.napi_create_external_buffer == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_external_buffer' called ""
                    ""before it was injected!\n"");
    abort();
  }
  return g_host.napi_create_external_buffer(arg0, arg1, arg2, arg3, arg4, arg5);
};

extern ""C"" napi_status napi_create_buffer_copy(napi_env arg0, size_t arg1,
                                               const void *arg2, void **arg3,
                                               napi_value *arg4) {
  if (g_host.napi_create_buffer_copy == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_buffer_copy' called before ""
                    ""it was injected!\n"");
    abort();
  }
  return g_host.napi_create_buffer_copy(arg0, arg1, arg2, arg3, arg4);
};"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/generated/weak_node_api.cpp	1374	napi_create_buffer_copy(	"                                                   void *arg2,
                                                   node_api_basic_finalize arg3,
                                                   void *arg4,
                                                   napi_value *arg5) {
  if (g_host.napi_create_external_buffer == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_external_buffer' called ""
                    ""before it was injected!\n"");
    abort();
  }
  return g_host.napi_create_external_buffer(arg0, arg1, arg2, arg3, arg4, arg5);
};

extern ""C"" napi_status napi_create_buffer_copy(napi_env arg0, size_t arg1,
                                               const void *arg2, void **arg3,
                                               napi_value *arg4) {
  if (g_host.napi_create_buffer_copy == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_buffer_copy' called before ""
                    ""it was injected!\n"");
    abort();
  }
  return g_host.napi_create_buffer_copy(arg0, arg1, arg2, arg3, arg4);
};

extern ""C"" napi_status napi_is_buffer(napi_env arg0, napi_value arg1,
                                      bool *arg2) {"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/generated/weak_node_api.cpp	1382	napi_create_buffer_copy(	"  }
  return g_host.napi_create_external_buffer(arg0, arg1, arg2, arg3, arg4, arg5);
};

extern ""C"" napi_status napi_create_buffer_copy(napi_env arg0, size_t arg1,
                                               const void *arg2, void **arg3,
                                               napi_value *arg4) {
  if (g_host.napi_create_buffer_copy == nullptr) {
    fprintf(stderr, ""Node-API function 'napi_create_buffer_copy' called before ""
                    ""it was injected!\n"");
    abort();
  }
  return g_host.napi_create_buffer_copy(arg0, arg1, arg2, arg3, arg4);
};

extern ""C"" napi_status napi_is_buffer(napi_env arg0, napi_value arg1,
                                      bool *arg2) {
  if (g_host.napi_is_buffer == nullptr) {
    fprintf(
        stderr,
        ""Node-API function 'napi_is_buffer' called before it was injected!\n"");
    abort();
  }
  return g_host.napi_is_buffer(arg0, arg1, arg2);
};"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/headers/node_api.h	125	napi_create_buffer(	"napi_async_destroy(napi_env env, napi_async_context async_context);

WEAK_NAPI_EXTERN napi_status NAPI_CDECL
napi_make_callback(napi_env env,
                   napi_async_context async_context,
                   napi_value recv,
                   napi_value func,
                   size_t argc,
                   const napi_value* argv,
                   napi_value* result);

// Methods to provide node::Buffer functionality with napi types
WEAK_NAPI_EXTERN napi_status NAPI_CDECL napi_create_buffer(napi_env env,
                                                      size_t length,
                                                      void** data,
                                                      napi_value* result);
#ifndef NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED
WEAK_NAPI_EXTERN napi_status NAPI_CDECL
napi_create_external_buffer(napi_env env,
                            size_t length,
                            void* data,
                            node_api_basic_finalize finalize_cb,
                            void* finalize_hint,
                            napi_value* result);
#endif  // NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/headers/node_api.h	131	napi_create_external_buffer(	"                   napi_value func,
                   size_t argc,
                   const napi_value* argv,
                   napi_value* result);

// Methods to provide node::Buffer functionality with napi types
WEAK_NAPI_EXTERN napi_status NAPI_CDECL napi_create_buffer(napi_env env,
                                                      size_t length,
                                                      void** data,
                                                      napi_value* result);
#ifndef NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED
WEAK_NAPI_EXTERN napi_status NAPI_CDECL
napi_create_external_buffer(napi_env env,
                            size_t length,
                            void* data,
                            node_api_basic_finalize finalize_cb,
                            void* finalize_hint,
                            napi_value* result);
#endif  // NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED

#if NAPI_VERSION >= 10

WEAK_NAPI_EXTERN napi_status NAPI_CDECL
node_api_create_buffer_from_arraybuffer(napi_env env,
                                        napi_value arraybuffer,"
@lynx-js/weak-node-api	0.1.0	RAW_NAPI_BUFFER	package/headers/node_api.h	149	napi_create_buffer_copy(	"#endif  // NODE_API_NO_EXTERNAL_BUFFERS_ALLOWED

#if NAPI_VERSION >= 10

WEAK_NAPI_EXTERN napi_status NAPI_CDECL
node_api_create_buffer_from_arraybuffer(napi_env env,
                                        napi_value arraybuffer,
                                        size_t byte_offset,
                                        size_t byte_length,
                                        napi_value* result);
#endif  // NAPI_VERSION >= 10

WEAK_NAPI_EXTERN napi_status NAPI_CDECL napi_create_buffer_copy(napi_env env,
                                                           size_t length,
                                                           const void* data,
                                                           void** result_data,
                                                           napi_value* result);
WEAK_NAPI_EXTERN napi_status NAPI_CDECL napi_is_buffer(napi_env env,
                                                  napi_value value,
                                                  bool* result);
WEAK_NAPI_EXTERN napi_status NAPI_CDECL napi_get_buffer_info(napi_env env,
                                                        napi_value value,
                                                        void** data,
                                                        size_t* length);
"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	77	Napi::Buffer<unsigned char>::New(	"      free(private_key);
      return SetError(""Failed to allocate memory"");
    }

    if (impl->keypair(public_key, private_key) != 0) {
      free(public_key);
      free(private_key);
      return SetError(""failed to generate keypair"");
    }
  }

  std::vector<napi_value> GetResult(Napi::Env env) override {
    const auto public_key_buf = Napi::Buffer<unsigned char>::New(env, public_key, impl->publicKeySize, Free);
    const auto private_key_buf = Napi::Buffer<unsigned char>::New(env, private_key, impl->privateKeySize, Free);

    Napi::Object obj = Napi::Object::New(env);
    obj.Set(""publicKey"", public_key_buf);
    obj.Set(""privateKey"", private_key_buf);
    return { env.Undefined(), obj };
  }

 private:
  const Algorithm* impl;
  unsigned char* public_key;
  unsigned char* private_key;"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	78	Napi::Buffer<unsigned char>::New(	"      return SetError(""Failed to allocate memory"");
    }

    if (impl->keypair(public_key, private_key) != 0) {
      free(public_key);
      free(private_key);
      return SetError(""failed to generate keypair"");
    }
  }

  std::vector<napi_value> GetResult(Napi::Env env) override {
    const auto public_key_buf = Napi::Buffer<unsigned char>::New(env, public_key, impl->publicKeySize, Free);
    const auto private_key_buf = Napi::Buffer<unsigned char>::New(env, private_key, impl->privateKeySize, Free);

    Napi::Object obj = Napi::Object::New(env);
    obj.Set(""publicKey"", public_key_buf);
    obj.Set(""privateKey"", private_key_buf);
    return { env.Undefined(), obj };
  }

 private:
  const Algorithm* impl;
  unsigned char* public_key;
  unsigned char* private_key;
};"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	119	Napi::Buffer<unsigned char>::New(	"      free(ciphertext);
      return SetError(""Failed to allocate memory"");
    }

    if (impl->enc(ciphertext, actualKey, publicKey) != 0) {
      free(actualKey);
      free(ciphertext);
      return SetError(""Key encapsulation failed"");
    }
  }

  std::vector<napi_value> GetResult(Napi::Env env) override {
    const auto key = Napi::Buffer<unsigned char>::New(env, actualKey, impl->keySize, Free);
    const auto ct = Napi::Buffer<unsigned char>::New(env, ciphertext, impl->ciphertextSize, Free);
    Napi::Object obj = Napi::Object::New(env);
    obj.Set(""key"", key);
    obj.Set(""encryptedKey"", ct);
    return { env.Undefined(), obj };
  }

  ~GenerateKeyWorker() {
    free(publicKey);
  }

 private:"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	120	Napi::Buffer<unsigned char>::New(	"      return SetError(""Failed to allocate memory"");
    }

    if (impl->enc(ciphertext, actualKey, publicKey) != 0) {
      free(actualKey);
      free(ciphertext);
      return SetError(""Key encapsulation failed"");
    }
  }

  std::vector<napi_value> GetResult(Napi::Env env) override {
    const auto key = Napi::Buffer<unsigned char>::New(env, actualKey, impl->keySize, Free);
    const auto ct = Napi::Buffer<unsigned char>::New(env, ciphertext, impl->ciphertextSize, Free);
    Napi::Object obj = Napi::Object::New(env);
    obj.Set(""key"", key);
    obj.Set(""encryptedKey"", ct);
    return { env.Undefined(), obj };
  }

  ~GenerateKeyWorker() {
    free(publicKey);
  }

 private:
  const pqclean::kem::Algorithm* impl;"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	162	Napi::Buffer<unsigned char>::New(	"
    actual_key = Malloc<unsigned char>(impl->keySize);
    if (actual_key == nullptr)
      return SetError(""Failed to allocate memory"");

    if (impl->dec(actual_key, ciphertext, private_key) != 0) {
      free(actual_key);
      return SetError(""decryption failed"");
    }
  }

  std::vector<napi_value> GetResult(Napi::Env env) override {
    const auto key = Napi::Buffer<unsigned char>::New(env, actual_key, impl->keySize, Free);
    return { env.Undefined(), key };
  }

  ~DecryptWorker() {
    free(private_key);
    free(ciphertext);
  }

 private:
  const pqclean::kem::Algorithm* impl;
  unsigned char* private_key;
  unsigned char* ciphertext;"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	209	Napi::Buffer<unsigned char>::New(	"    if (r != 0) {
      free(signature);
      return SetError(""sign operation failed"");
    }
    if (signatureSize != impl->signatureSize) {
      if (signatureSize > impl->signatureSize) {
        Napi::Error::Fatal(""SignWorker"", ""signatureSize > impl->signatureSize"");
      }
    }
  }

  std::vector<napi_value> GetResult(Napi::Env env) override {
    const auto key = Napi::Buffer<unsigned char>::New(env, signature, signatureSize, Free);
    return { env.Undefined(), key };
  }

  ~SignWorker() {
    free(privateKey);
    free(message);
  }

 private:
  const pqclean::sign::Algorithm* impl;
  unsigned char* privateKey;
  unsigned char* message;"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	314	Napi::Buffer<unsigned char>::New(	"        } else {
          Napi::TypeError::New(env, ""First argument must be a function"")
              .ThrowAsJavaScriptException();
          return env.Undefined();
        }
      } else {
        Napi::TypeError::New(env, ""Wrong number of arguments"")
            .ThrowAsJavaScriptException();
        return env.Undefined();
      }
    }

    Napi::Buffer<unsigned char> public_key = Napi::Buffer<unsigned char>::New(env, impl->publicKeySize);
    Napi::Buffer<unsigned char> private_key = Napi::Buffer<unsigned char>::New(env, impl->privateKeySize);
    int r = impl->keypair(public_key.Data(), private_key.Data());
    if (r != 0) {
      Napi::Error::New(env, ""failed to generate keypair"").ThrowAsJavaScriptException();
      return env.Undefined();
    }

    Napi::Object obj = Napi::Object::New(env);
    obj.Set(""publicKey"", public_key);
    obj.Set(""privateKey"", private_key);
    return obj;
  }"
pqclean	0.8.1	NAPI_BUFFER_NEW	package/native/node_pqclean.cc	315	Napi::Buffer<unsigned char>::New(	"          Napi::TypeError::New(env, ""First argument must be a function"")
              .ThrowAsJavaScriptException();
          return env.Undefined();
        }
      } else {
        Napi::TypeError::New(env, ""Wrong number of arguments"")
            .ThrowAsJavaScriptException();
        return env.Undefined();
      }
    }

    Napi::Buffer<unsigned char> public_key = Napi::Buffer<unsigned char>::New(env, impl->publicKeySize);
    Napi::Buffer<unsigned char> private_key = Napi::Buffer<unsigned char>::New(env, impl->privateKeySize);
    int r = impl->keypair(public_key.Data(), private_key.Data());
    if (r != 0) {
      Napi::Error::New(env, ""failed to generate keypair"").ThrowAsJavaScriptException();
      return env.Undefined();
    }

    Napi::Object obj = Napi::Object::New(env);
    obj.Set(""publicKey"", public_key);
    obj.Set(""privateKey"", private_key);
    return obj;
  }
"
